time, lat, lon, altitude, battery_min, acc_avg, acc_max, rollspeed_fused_max, pitchspeed_fused_max, yawspeed_fused_max, trigger_noisy_acc, trigger_gps_missed_beat
613459235.770706, -35.363261, 149.1652296, 583.8050000000001, 100, 1.001, 1.001, 0.0003835301613435149, 0.00025288405595347285, 0.00022477569291368127, 0, 0
613459236.783704, -35.363261, 149.1652296, 583.1600000000001, 99, 1.0010022477472003, 1.0010044954944006, 0.00033165732747875154, 0.00028405687771737576, 0.000394807051634416, 0, 0
613459237.770705, -35.363261, 149.1652296, 583.0150000000001, 99, 1.0481537171147703, 1.0970186871699132, 0.06168122589588165, 0.07172137498855591, 0.002472558757290244, 0, 0
613459238.7887049, -35.363260600000004, 149.16522989999999, 584.4749999999999, 99, 1.0599787129801443, 1.0797430249832596, 0.00332820788025856, 0.04357520118355751, 0.005988382734358311, 0, 0
613459239.770674, -35.3632599, 149.16523065, 587.065, 99, 1.0104873179345604, 1.0120301378911598, 0.008495263755321503, 0.16567650437355042, 0.009713289327919483, 0, 0
613459240.782898, -35.3632596, 149.16523085, 590.16, 99, 1.00849735919881, 1.010962412753313, 0.016837427392601967, 0.014084400609135628, 0.007072629407048225, 0, 0
613459241.792703, -35.363259850000006, 149.16522985, 593.39, 98, 1.0087350389837364, 1.0095231547616923, 0.01638380065560341, 0.024334704503417015, 0.014670693315565586, 0, 0
613459242.7706769, -35.36325965, 149.16522895, 596.4749999999999, 98, 1.005106057195998, 1.006783492117347, 0.008836346678435802, 0.028909927234053612, 0.02118137665092945, 0, 0
613459243.782701, -35.363259049999996, 149.16522874999998, 599.21, 98, 1.0017140236957391, 1.0060168984664224, 0.0020376991014927626, 0.028932582587003708, 0.023892460390925407, 0, 0
613459244.7647269, -35.3632586, 149.1652292, 601.5, 98, 1.0054668371602626, 1.007573818635637, 0.000058745063142850995, 0.020752793177962303, 0.01869731955230236, 0, 0
613459245.76771, -35.3632585, 149.1652296, 603.345, 98, 1.0012172447904186, 1.0022315101811556, 0.000018738530343398452, 0.02306678518652916, 0.02744065411388874, 0, 0
613459246.775703, -35.3632583, 149.1652296, 604.87, 97, 0.9988159211353682, 1.0060447306158906, 0.003979099914431572, 0.021389106288552284, 0.03443191200494766, 0, 0
613459247.782708, -35.3632582, 149.1652296, 606.3, 97, 0.9958372967525, 0.9995894157102705, 0.005300703924149275, 0.014720424078404903, 0.03883060812950134, 0, 0
613459248.792739, -35.36325805, 149.1652296, 607.88, 97, 0.9986018163417649, 1.0111681363650658, 0.008545421995222569, 0.022659463807940483, 0.03563249483704567, 0, 0
613459249.766701, -35.36325775, 149.1652296, 609.8199999999999, 97, 0.9943372437353418, 0.9980716407152345, 0.0020422569941729307, 0.018543049693107605, 0.04506533592939377, 0, 0
613459250.774482, -35.36325735, 149.16522965000001, 612.175, 96, 1.0005916232685017, 1.0031221261641077, 0.0022292910143733025, 0.02052203379571438, 0.045499082654714584, 0, 0
613459251.780683, -35.36325705, 149.16523, 614.985, 96, 1.0064002623717845, 1.0082742682425254, 0.0033005077857524157, 0.01396290585398674, 0.029467526823282242, 0, 0
613459252.787708, -35.3632569, 149.1652302, 618.165, 96, 1.002022676119112, 1.0043799082020706, 0.00835241936147213, 0.01691543124616146, 0.03277863562107086, 0, 0
613459253.792698, -35.363257, 149.16523015, 621.5250000000001, 96, 1.0020283643896262, 1.0042992581895098, 0.006425083614885807, 0.018122956156730652, 0.03189697489142418, 0, 0
613459254.771725, -35.3632573, 149.16523, 624.8199999999999, 96, 1.0051977894379127, 1.0058334852250645, 0.0035190298222005367, 0.01810510642826557, 0.009572470560669899, 0, 0
613459255.781736, -35.3632576, 149.16522965000001, 627.835, 95, 0.9987718209925037, 1.00045989424864, 0.007320763543248177, 0.011602858081459999, 0.029676496982574463, 0, 0
613459256.792733, -35.363258099999996, 149.1652296, 630.4100000000001, 95, 1.002267930620583, 1.0050955178489256, 0.005590352229773998, 0.018011678010225296, 0.0206046961247921, 0, 0
613459257.774709, -35.3632586, 149.1652296, 632.53, 95, 0.9998074312242317, 1.000582330445626, 0.0049169715493917465, 0.014475894160568714, 0.020951110869646072, 0, 0
613459258.7846808, -35.363259, 149.1652295, 634.2550000000001, 95, 1.0022451029401829, 1.0027487222629605, 0.008920125663280487, 0.011600879952311516, 0.01934042200446129, 0, 0
613459259.7976809, -35.36325925, 149.16522924999998, 635.78, 94, 1.006688684538172, 1.0076333658628023, 0.009002288803458214, 0.010759846307337284, 0.017660044133663177, 0, 0
613459260.7766778, -35.3632596, 149.1652291, 637.3299999999999, 94, 1.0008955629316345, 1.0040692207213604, 0.0034192055463790894, 0.01616695709526539, 0.017050953581929207, 0, 0
613459261.7917309, -35.3632598, 149.16522885, 639.155, 94, 1.0062097272763697, 1.0072020651289393, 0.007846572436392307, 0.01141729298979044, 0.017059821635484695, 0, 0
613459262.777022, -35.36325995, 149.16522874999998, 641.41, 94, 1.0025673243316766, 1.0040707146411552, 0.007926416583359241, 0.008727746084332466, 0.009371515363454819, 0, 0
613459263.78567, -35.363260350000004, 149.1652287, 644.1700000000001, 93, 1.0039378716952165, 1.0052606627139054, 0.006146389991044998, 0.00010147551074624062, 0.027270380407571793, 0, 0
613459264.797839, -35.36326065, 149.1652287, 647.375, 93, 0.9993489203223032, 1.0027008526973535, 0.0047125257551670074, 0.0031738323159515858, 0.01992778480052948, 0, 0
613459265.7726839, -35.36326095, 149.1652287, 650.86, 93, 1.0002666029581087, 1.0033035433008297, 0.0053592585027217865, 0.0004000357585027814, 0.008599063381552696, 0, 0
