Version|5
Timestamp Start|20120404_052301
Timestamp Ende|20120404_052331
Triggernummer|4096
Trigger-Timestamp|20120404_052321
DD-Sensor|03B00055U
Konfiguration|03B00055U_20120315_120255.dcf
Triggergrund|Bremse_p_Lukas
GPS Start|20120404_052301|51.03289800|13.74997000
GPS Ende|20120404_052330|51.03488500|13.74945800
GPS Trigger|20120404_052321|51.03460300|13.74945500
GPS alt|||
Zeit|Signal|Wert|Einheit
0.03744|Zusatz_GW_Gurt_WL_1|aus|
0.03744|Zusatz_GW_Nebelschluss_KL|aus|
0.04000|DR_Gierrate|0.48828125|°/s
0.04000|DR_a_x|-0.00800000|g
0.04000|DR_a_y|0.07600000|g
0.04000|DR_a_z|0.91200000|g
0.04327|Gang_Getriebe|3|---
0.04327|Gang_Wahl|3|---
0.04327|Zusatz_GW_Werkstatt_KL|aus|
0.04327|Zusatz_Gang_Anzeige_KI|a 3|---
0.04348|ESP_S_1|aktiv|---
0.04348|Motor_n|1201.00000000|1/min
0.04665|GW_ESP_KL|aus|
0.04665|Gaspedal_W|0.00000000|%
0.04665|Zusatz_Kickdown|nicht betaetigt|---
0.04688|Lenkrad_W_B|4.94940000|°
0.04688|Lenkrad_W_R|links|---
0.04688|Lenkrad_W_v_B|9.61400000|°/s
0.04688|Lenkrad_W_v_R|links|°/s
0.04713|Motor_KL|aus|
0.04713|Zusatz_GW_Batterie_WL|aus|
0.04713|Zusatz_GW_KuehlMtemp_WL|aus|
0.04713|Zusatz_GW_Oeldruck_WL|aus|
0.04761|ABS_E_1|regelt nicht|---
0.04761|Bremse_Pedal_S_2|nicht betaetigt|---
0.04761|FZ_a_y|-0.02660000|g
0.04761|Zusatz_Bremse_Licht_S|nicht aktiv|
0.04784|ABS_E|regelt nicht|---
0.04784|Bremse_Pedal_S|nicht betaetigt|---
0.04807|FZ_Gierrate|0.21500000|°/s
0.04807|FZ_a_y_1|-0.02151000|g
0.04881|ESP_E_1|regelt nicht|---
0.04881|ESP_S|aktiv|
0.04881|Rad_n_HL|344.50000000|1/min
0.04881|Rad_n_HR|344.00000000|1/min
0.04881|Zusatz_Bremse_Moment|0.00000000|
0.04905|ABS_WL|aus|---
0.04905|Bremse_DOT_S|ok|---
0.04905|Bremse_Hand|geloest|---
0.04905|Bremse_Pedal_S_1|nicht betaetigt|---
0.04905|ESP_E|regelt nicht|---
0.04905|ESP_KL|aus|
0.04905|Rad_n_VL|344.00000000|1/min
0.04905|Rad_n_VL_1|344.00000000|1/min
0.04905|Rad_n_VR|344.00000000|1/min
