Version|5
Timestamp Start|20110126_212236
Timestamp Ende|20110126_212306
Triggernummer|152
Trigger-Timestamp|20110126_212256
DD-Sensor|
Konfiguration|
Triggergrund|Verzögerung
GPS Start|20110126_212237|51.03374000|13.73071800
GPS Ende|20110126_212306|51.03053600|13.73057800
GPS Trigger|20110126_212257|51.03099300|13.73044000
GPS alt|||
Zeit|Signal|Wert|Einheit
0.15235|Rad_n_VL|539.50000000|1/min
0.15235|Rad_n_VR|538.00000000|1/min
0.15353|ABS_E|regelt nicht|---
0.15353|Bremse_DOT_S|ok|---
0.15353|Bremse_Pedal_S|nicht betaetigt|---
0.15353|ESP_E|regelt nicht|---
0.15353|FZ_v_1|56.00000000|km/h
0.15353|GW_ABS_WL|aus|---
0.15353|GW_ABS_WL_1|aus|---
0.15353|GW_ESP_KL|aus|---
0.15471|FZ_a_y|0.02000000|g
0.15471|FZ_a_y_2|-0.05200000|g
0.15588|Blinker_L_S|aus|---
0.15588|Blinker_R_S|aus|---
0.15588|Blinker_Warnblinker_S|aus|---
0.15588|Bremse_Hand|geloest|---
0.15588|KM|35686.00000000|km
0.15588|Licht_Stand_S|an|---
0.15588|Zusatz_Anlassschalter|aus|
0.15588|Zusatz_Heckscheibe_Heizung|aus|
0.15588|Zusatz_Klimaanlage|aus|
0.15588|Zusatz_Lueftung_Innenraum_S|an|
0.15588|Zusatz_Tuer_links|geschlossen|
0.15588|Zusatz_Tuer_rechts|geschlossen|
0.15706|Lenkrad_W_B|0.00000000|°
0.15706|Lenkrad_W_R|links|---
0.15706|Lenkrad_W_v_B|0.00000000|°/s
0.15706|Lenkrad_W_v_R|links|---
0.15824|Bremse_Pedal_S_1|nicht betaetigt|---
0.15824|FZ_a_y_1|0.00000000|g
0.15824|GW_ESP_KL_2|an|
0.15824|Gaspedal_W|38.40000000|%
0.16059|DR_Gierrate|-0.97656250|°/s
0.16176|DR_a_x|0.00000000|g
0.16176|DR_a_y|0.05600000|g
0.16176|DR_a_z|1.09600000|g
0.16412|Lenkrad_W_B|0.00000000|°
0.16412|Lenkrad_W_R|links|---
0.16412|Lenkrad_W_v_B|0.00000000|°/s
0.16412|Lenkrad_W_v_R|links|---
0.16529|Gang_Getriebe|5|---
0.16529|Gang_Wahl|5|---
0.16529|Motor_n|2071.00000000|1/min
0.16529|Zusatz_Fahr_S|fz. schneller als 10 km/h|
0.16882|Bremse_Pedal_S_1|nicht betaetigt|---
0.16882|FZ_a_y_1|0.02000000|g
0.16882|GW_ESP_KL_2|an|
0.16882|Gaspedal_W|38.40000000|%
0.17000|GW_ESP_KL_1|aus|
0.17000|Motor_KL|aus|---
0.17000|Motor_n_1|2075.00000000|1/min
0.17000|Zusatz_GW_Batterie_WL|aus|
0.17000|Zusatz_GW_Oeldruck_WL|aus|
0.17000|Zusatz_Gang_Anzeige_KI|5|---
0.17000|Zusatz_Motor_Kuehlung_S|aus|
0.17000|Zusatz_Motor_Temperatur|71.00000000|°C
0.17000|Zusatz_Parksperre|Parksperre aus|
0.17000|Zusatz_Zuendung_Ganganzeige|Zuendung an|
0.17118|Rad_n_HL|545.00000000|1/min
0.17118|Rad_n_HR|545.50000000|1/min
0.17118|Rad_n_VL|538.50000000|1/min
0.17118|Rad_n_VR|537.00000000|1/min
0.17235|ABS_E|regelt nicht|---
0.17235|Bremse_DOT_S|ok|---
0.17235|Bremse_Pedal_S|nicht betaetigt|---
0.17235|ESP_E|regelt nicht|---
0.17235|FZ_v_1|56.00000000|km/h
0.17235|GW_ABS_WL|aus|---
0.17235|GW_ABS_WL_1|aus|---
0.17235|GW_ESP_KL|aus|---
0.17353|FZ_a_y|0.00000000|g
0.17353|FZ_a_y_2|-0.05200000|g
0.17471|FZ_v|56.00000000|km/h
0.17471|Temperatur_Aussen|1.00000000|°C
0.17588|Blinker_L_S|aus|---
0.17588|Blinker_R_S|aus|---
0.17588|Blinker_Warnblinker_S|aus|---
0.17588|Bremse_Hand|geloest|---
0.17588|KM|35686.00000000|km
0.17588|Licht_Stand_S|an|---
0.17588|Zusatz_Anlassschalter|aus|
0.17588|Zusatz_Heckscheibe_Heizung|aus|
0.17588|Zusatz_Klimaanlage|aus|
0.17588|Zusatz_Lueftung_Innenraum_S|an|
0.17588|Zusatz_Tuer_links|geschlossen|
0.17588|Zusatz_Tuer_rechts|geschlossen|
0.17706|Lenkrad_W_B|0.00000000|°
0.17706|Lenkrad_W_R|links|---
0.17706|Lenkrad_W_v_B|0.00000000|°/s
0.17706|Lenkrad_W_v_R|links|---
0.17824|Bremse_Pedal_S_1|nicht betaetigt|---
0.17824|FZ_a_y_1|0.02000000|g
0.17824|GW_ESP_KL_2|an|
0.17824|Gaspedal_W|38.40000000|%
0.18176|DR_Gierrate|-0.73242188|°/s
0.18294|DR_a_x|-0.00800000|g
