Version|5
Timestamp Start|20110126_212236
Timestamp Ende|20110126_212306
Triggernummer|152
Trigger-Timestamp|20110126_212256
DD-Sensor|
Konfiguration|
Triggergrund|Verzögerung
GPS Start|20110126_212237|51.03374000|13.73071800
GPS Ende|20110126_212306|51.03053600|13.73057800
GPS Trigger|20110126_212257|51.03099300|13.73044000
GPS alt|||
Zeit|Signal|Wert|Einheit
0.04412|Lenkrad_W_v_B|0.00000000|°/s
0.04412|Lenkrad_W_v_R|links|---
0.04529|FZ_v|56.00000000|km/h
0.04529|Temperatur_Aussen|1.00000000|°C
0.04647|Gang_Getriebe|5|---
0.04647|Gang_Wahl|5|---
0.04647|Motor_n|2077.00000000|1/min
0.04647|Zusatz_Fahr_S|fz. schneller als 10 km/h|
0.05000|Bremse_Pedal_S_1|nicht betaetigt|---
0.05000|FZ_a_y_1|0.00000000|g
0.05000|GW_ESP_KL_2|an|
0.05000|Gaspedal_W|38.40000000|%
0.05118|GW_ESP_KL_1|aus|
0.05118|Motor_KL|aus|---
0.05118|Motor_n_1|2075.00000000|1/min
0.05118|Zusatz_GW_Batterie_WL|aus|
0.05118|Zusatz_GW_Oeldruck_WL|aus|
0.05118|Zusatz_Gang_Anzeige_KI|5|---
0.05118|Zusatz_Motor_Kuehlung_S|aus|
0.05118|Zusatz_Motor_Temperatur|71.00000000|°C
0.05118|Zusatz_Parksperre|Parksperre aus|
0.05118|Zusatz_Zuendung_Ganganzeige|Zuendung an|
0.05235|Rad_n_HL|545.50000000|1/min
0.05235|Rad_n_HR|547.50000000|1/min
0.05235|Rad_n_VL|540.50000000|1/min
0.05235|Rad_n_VR|539.50000000|1/min
0.05353|ABS_E|regelt nicht|---
0.05353|Bremse_DOT_S|ok|---
0.05353|Bremse_Pedal_S|nicht betaetigt|---
0.05353|ESP_E|regelt nicht|---
0.05353|FZ_v_1|56.00000000|km/h
0.05353|GW_ABS_WL|aus|---
0.05353|GW_ABS_WL_1|aus|---
0.05353|GW_ESP_KL|aus|---
0.05471|FZ_a_y|0.00000000|g
0.05471|FZ_a_y_2|-0.05200000|g
0.05588|Blinker_L_S|aus|---
0.05588|Blinker_R_S|aus|---
0.05588|Blinker_Warnblinker_S|aus|---
0.05588|Bremse_Hand|geloest|---
0.05588|KM|35686.00000000|km
0.05588|Licht_Stand_S|an|---
0.05588|Zusatz_Anlassschalter|aus|
0.05588|Zusatz_Heckscheibe_Heizung|aus|
0.05588|Zusatz_Klimaanlage|aus|
0.05588|Zusatz_Lueftung_Innenraum_S|an|
0.05588|Zusatz_Tuer_links|geschlossen|
0.05588|Zusatz_Tuer_rechts|geschlossen|
0.05706|Lenkrad_W_B|0.00000000|°
0.05706|Lenkrad_W_R|links|---
0.05706|Lenkrad_W_v_B|0.00000000|°/s
