Version|5
Timestamp Start|20100914_123322
Timestamp Ende|20100914_123352
Triggernummer|364
Trigger-Timestamp|20100914_123342
DD-Sensor|
Konfiguration|
Triggergrund|ESP-Algorithmus
GPS Start|20100914_123322|51.03397000|13.74831300
GPS Ende|20100914_123351|51.03440500|13.74938300
GPS Trigger|20100914_123342|51.03349800|13.74944100
GPS alt|||
Zeit|Signal|Wert|Einheit
0.03833|Motor_n|1631.00000000|1/min
0.04036|DR_Gierrate|-0.48828125|°/s
0.04107|DR_a_x|-0.05600000|g
0.04107|DR_a_y|0.03600000|g
0.04107|DR_a_z|1.04000000|g
0.04250|Blinker_L_S|aus|---
0.04250|Blinker_R_S|aus|---
0.04250|Blinker_Warnblinker_S|aus|---
0.04250|Licht_Abblend_S|an|---
0.04250|Licht_Fern_S|aus|---
0.04250|Licht_Hupe_S|aus|---
0.04250|Licht_Nebelschluss_S|aus|---
0.04250|Licht_Stand_S|an|---
0.04250|Zusatz_GW_Gurt_WL_1|aus|
0.04250|Zusatz_GW_Nebelschluss_KL|aus|
0.04393|ABS_E_1|regelt nicht|---
0.04393|Bremse_Pedal_S_2|nicht betaetigt|---
0.04393|FZ_a_y|0.00780000|g
0.04393|Zusatz_Bremse_Licht_S|nicht aktiv|
0.04464|ABS_E|regelt nicht|---
0.04464|Bremse_Pedal_S|nicht betaetigt|---
0.04607|FZ_Gierrate|0.47500000|°/s
0.04607|FZ_a_y_1|-0.03373000|g
0.04750|ESP_E_1|regelt nicht|---
0.04750|ESP_S|aktiv|
0.04750|Rad_n_HL|382.00000000|1/min
0.04750|Rad_n_HR|382.50000000|1/min
0.04750|Zusatz_Bremse_Moment|0.00000000|
0.04821|ABS_WL|aus|---
0.04821|Bremse_DOT_S|ok|---
0.04821|Bremse_Hand|geloest|---
0.04821|Bremse_Pedal_S_1|nicht betaetigt|---
0.04821|ESP_E|regelt nicht|---
0.04821|ESP_KL|aus|
0.04821|Rad_n_VL|386.00000000|1/min
0.04821|Rad_n_VL_1|386.00000000|1/min
0.04821|Rad_n_VR|386.00000000|1/min
0.04893|Lenkrad_W_B|3.98580000|°
0.04893|Lenkrad_W_R|links|---
0.04893|Lenkrad_W_v_B|0.00000000|°/s
0.04893|Lenkrad_W_v_R|links|°/s
0.05036|Gang_Getriebe|4|---
0.05036|Gang_Wahl|4|---
0.05036|Zusatz_GW_Werkstatt_KL|aus|
0.05036|Zusatz_Gang_Anzeige_KI|m 4|---
0.05107|Airbag_WL|aus|---
0.05107|Airbag_WL_1|aus|---
0.05107|Gurt_VL|gesteckt|---
0.05107|Zusatz_GW_Gurt_WL|aus|
0.05179|ESP_S_1|aktiv|---
0.05179|Motor_n|1629.00000000|1/min
0.05464|GW_ESP_KL|aus|
0.05464|Gaspedal_W|0.00000000|%
0.05464|Zusatz_Kickdown|nicht betaetigt|---
0.05536|Motor_KL|aus|
0.05536|Zusatz_GW_Batterie_WL|aus|
0.05536|Zusatz_GW_KuehlMtemp_WL|aus|
0.05536|Zusatz_GW_Oeldruck_WL|aus|
0.05607|Lenkrad_W_B|4.46760000|°
0.05607|Lenkrad_W_R|links|---
0.05607|Lenkrad_W_v_B|0.00000000|°/s
0.05607|Lenkrad_W_v_R|links|°/s
0.05821|ESP_S_1|aktiv|---
0.05821|Motor_n|1632.00000000|1/min
0.06036|DR_Gierrate|-0.48828125|°/s
0.06107|DR_a_x|-0.04800000|g
0.06107|DR_a_y|0.04000000|g
0.06107|DR_a_z|0.98000000|g
0.06250|Blinker_L_S|aus|---
0.06250|Blinker_R_S|aus|---
0.06250|Blinker_Warnblinker_S|aus|---
0.06250|Licht_Abblend_S|an|---
0.06250|Licht_Fern_S|aus|---
0.06250|Licht_Hupe_S|aus|---
0.06250|Licht_Nebelschluss_S|aus|---
0.06250|Licht_Stand_S|an|---
0.06250|Zusatz_GW_Gurt_WL_1|aus|
0.06250|Zusatz_GW_Nebelschluss_KL|aus|
0.06393|ABS_E_1|regelt nicht|---
0.06393|Bremse_Pedal_S_2|nicht betaetigt|---
0.06393|FZ_a_y|0.00780000|g
0.06393|Zusatz_Bremse_Licht_S|nicht aktiv|
0.06464|ABS_E|regelt nicht|---
0.06464|Bremse_Pedal_S|nicht betaetigt|---
0.06536|FZ_Gierrate|0.41500000|°/s
0.06536|FZ_a_y_1|-0.03477000|g
0.06750|ESP_E_1|regelt nicht|---
0.06750|ESP_S|aktiv|
0.06750|Rad_n_HL|381.50000000|1/min
0.06750|Rad_n_HR|382.00000000|1/min
0.06750|Zusatz_Bremse_Moment|0.00000000|
0.06821|ABS_WL|aus|---
0.06821|Bremse_DOT_S|ok|---
0.06821|Bremse_Hand|geloest|---
0.06821|Bremse_Pedal_S_1|nicht betaetigt|---
0.06821|ESP_E|regelt nicht|---
0.06821|ESP_KL|aus|
0.06821|Rad_n_VL|385.50000000|1/min
0.06821|Rad_n_VL_1|385.50000000|1/min
0.06821|Rad_n_VR|386.00000000|1/min
0.06893|Lenkrad_W_B|4.46760000|°
0.06893|Lenkrad_W_R|links|---
0.06893|Lenkrad_W_v_B|0.00000000|°/s
0.06893|Lenkrad_W_v_R|links|°/s
0.07036|Gang_Getriebe|4|---
0.07036|Gang_Wahl|4|---
0.07036|Zusatz_GW_Werkstatt_KL|aus|
0.07036|Zusatz_Gang_Anzeige_KI|m 4|---
0.07107|Airbag_WL|aus|---
0.07107|Airbag_WL_1|aus|---
0.07107|Gurt_VL|gesteckt|---
0.07107|Zusatz_GW_Gurt_WL|aus|
0.07179|ESP_S_1|aktiv|---
0.07179|Motor_n|1632.00000000|1/min
0.07464|GW_ESP_KL|aus|
0.07464|Gaspedal_W|0.00000000|%
0.07464|Zusatz_Kickdown|nicht betaetigt|---
0.07536|Motor_KL|aus|
0.07536|Zusatz_GW_Batterie_WL|aus|
0.07536|Zusatz_GW_KuehlMtemp_WL|aus|
0.07536|Zusatz_GW_Oeldruck_WL|aus|
0.07679|Lenkrad_W_B|3.98580000|°
0.07679|Lenkrad_W_R|links|---
0.07679|Lenkrad_W_v_B|0.00000000|°/s
0.07679|Lenkrad_W_v_R|links|°/s
0.07821|ESP_S_1|aktiv|---
0.07821|Motor_n|1632.00000000|1/min
0.08033|DR_Gierrate|-0.73242188|°/s
0.08100|DR_a_x|-0.04800000|g
0.08100|DR_a_y|0.04400000|g
0.08100|DR_a_z|0.96800000|g
0.08233|Blinker_L_S|aus|---
0.08233|Blinker_R_S|aus|---
0.08233|Blinker_Warnblinker_S|aus|---
0.08233|Licht_Abblend_S|an|---
0.08233|Licht_Fern_S|aus|---
0.08233|Licht_Hupe_S|aus|---
