Clock:offsetTime,IMU1.pressAlti (m),IMU1.altitudeMSL (m),IMU1.relativeHeight (m),IMU1.roll (deg.),IMU1.pitch (deg.),IMU1.yaw (deg.N),IMU1.accelX (m/s²),IMU1.accelY (m/s²),IMU1.accelZ (m/s²),IMU1.accelComposite (m/s²),IMU1.velN (m/s),IMU1.velE (m/s),IMU1.velD (m/s),IMU1.velComposite (m/s),IMU1.velH (m/s),IMU1.temperature (°F),IMU1.tiltInclination (deg.),IMU1.distanceTravelled (m),IMU2.pressAlti (m),IMU2.altitudeMSL (m),IMU2.relativeHeight (m),IMU2.roll (deg.),IMU2.pitch (deg.),IMU2.yaw (deg.N),IMU2.accelX (m/s²),IMU2.accelY (m/s²),IMU2.accelZ (m/s²),IMU2.accelComposite (m/s²),IMU2.velN (m/s),IMU2.velE (m/s),IMU2.velD (m/s),IMU2.velComposite (m/s),IMU2.velH (m/s),IMU2.temperature (°F),IMU2.tiltInclination (deg.),Ultrasound.height (m),GPS.numSats,GPS.Lat,GPS.Long,GPS.altitudeMSL (m),GPS.velN (m/s),GPS.velE (m/s),GPS.velD (m/s),Wind.speed (m/s),Wind.direction (rel.N),Wind.valid,Control.pitch,Control.roll,Control.yaw,Control.throttle,Motor.RFront (RPM),Motor.LFront (RPM),Motor.LBack (RPM),Motor.RBack (RPM),Motor.RFront (Volts),Motor.LFront (Volts),Motor.LBack (Volts),Motor.RBack (Volts),Motor.RFront (Amperes),Motor.LFront (Amperes),Motor.LBack (Amperes),Motor.RBack (Amperes),OsdData.relativeHeight (m),OsdData.pitch,OsdData.roll,OsdData.yaw,OsdData.ultrasonicHeight (dm),VIO.roll (deg.),VIO.pitch (deg.),VIO.yaw (deg.),Bat.Voltage (mV),Bat.Current (mA),Bat.%
662.481,171.73676,170.16095,3.40846237109375,6.49245809509142,0.838263205294679,172.064402619623,-0.04593816,0.113205746,-1.0834283,1.0902947,0.58018255,4.2336383,-0.015684359,4.2732368,4.2732078588179,65,6.54543679237357,550.831315329169,171.26038,169.31688,2.9320829765625,1.83695032231704,1.37250549115747,173.620080464868,-0.058383014,0.111890405,-1.0681225,1.0755527,0.44878942,4.5020223,-0.042617828,4.5245366,4.52433596633576,64.99,2.29250475319981,0.993,16,51.0250473,13.722785,163.6,0.42,4.3,0.17,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,24,14,1737,9,-16.6191860137833,7.27005902250586,38.2761027216545,11036,7213.5073,42
662.519,171.18646,170.18321,2.85816940234375,18.9609630296211,-0.067206337541377,172.472611903925,-0.039499678,0.04916867,-1.0815483,1.0833857,0.5689926,3.8761423,-0.043752797,3.917926,3.91768188034873,65.01,18.9610656421956,551.233168579647,171.5198,169.32356,3.19151290820312,17.886681139706,0.267113212807619,173.554923150284,-0.03274851,0.043542616,-1.0960475,1.0974008,0.45551398,4.1955647,-0.06786412,4.2207656,4.22022001298603,65,17.8884283332626,0.993,14,51.0250473,13.722785,163.6,0.42,4.3,0.17,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,24,14,1737,9,-1.05950457195818,1.55341814507674,34.7606118085401,11036,7213.5073,42
662.56,171.18646,170.18321,2.85816940234375,18.9609630296211,-0.067206337541377,172.472611903925,-0.039499678,0.04916867,-1.0815483,1.0833857,0.5689926,3.8761423,-0.043752797,3.917926,3.91768188034873,65.01,18.9610656421956,551.233168579647,171.5198,169.32356,3.19151290820312,17.886681139706,0.267113212807619,173.554923150284,-0.03274851,0.043542616,-1.0960475,1.0974008,0.45551398,4.1955647,-0.06786412,4.2207656,4.22022001298603,65,17.8884283332626,0.993,14,51.0250473,13.722785,163.6,0.42,4.3,0.17,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,24,14,1737,9,-1.05950457195818,1.55341814507674,34.7606118085401,11036,7213.5073,42
662.599,171.18646,170.18321,2.85816940234375,18.9609630296211,-0.067206337541377,172.472611903925,-0.039499678,0.04916867,-1.0815483,1.0833857,0.5689926,3.8761423,-0.043752797,3.917926,3.91768188034873,65.01,18.9610656421956,551.233168579647,171.28946,169.32976,2.96116622851562,20.1372872822903,0.419018343842847,173.774758897299,-0.024699785,0.06756276,-0.9991977,1.0017838,0.43975794,3.7926779,-0.019673772,3.8181381,3.81808750131052,65.02,20.1409702024581,0.993,14,51.0250473,13.722785,163.6,0.42,4.3,0.17,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,24,14,1737,9,-1.05950457195818,1.55341814507674,34.7606118085401,11036,7213.5073,42
662.641,171.45747,170.18823,3.12918075488281,20.6498645671632,0.178264461314508,172.50887041362,-0.027947959,0.06747528,-1.0177054,1.0203227,0.43349895,3.4762402,0.020230368,3.5032237,3.50316531237259,65.03,20.6505088886863,551.616046993823,171.28946,169.32976,2.96116622851562,20.1372872822903,0.419018343842847,173.774758897299,-0.024699785,0.06756276,-0.9991977,1.0017838,0.43975794,3.7926779,-0.019673772,3.8181381,3.81808750131052,65.02,20.1409702024581,0.993,14,51.0250473,13.722785,163.6,0.42,4.3,0.17,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,13,197,1743,9,-1.05950457195818,1.55341814507674,34.7606118085401,11040,7188.3374,42
662.681,171.45747,170.18823,3.12918075488281,20.6498645671632,0.178264461314508,172.50887041362,-0.027947959,0.06747528,-1.0177054,1.0203227,0.43349895,3.4762402,0.020230368,3.5032237,3.50316531237259,65.03,20.6505088886863,551.616046993823,171.28946,169.32976,2.96116622851562,20.1372872822903,0.419018343842847,173.774758897299,-0.024699785,0.06756276,-0.9991977,1.0017838,0.43975794,3.7926779,-0.019673772,3.8181381,3.81808750131052,65.02,20.1409702024581,0.993,14,51.0250481,13.722797,163.547,0.45,4.19,0.19,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,13,197,1743,9,-1.05950457195818,1.55341814507674,34.7606118085401,11040,7188.3374,42
662.719,171.8864,170.19347,3.55810531542969,21.0818154703078,1.18007158026809,172.15863444187,-0.025341876,0.07598308,-1.0170152,1.0201645,0.40902182,3.056918,0.096349746,3.0856652,3.08416063361895,64.99,21.1092435439718,551.929077017613,171.601,169.32596,3.27270492480469,20.5553567857509,1.36479978016091,173.4542702627,-0.024169795,0.07007802,-1.0368108,1.0394573,0.4302656,3.3877404,0.0697722,3.415667,3.41495430688184,64.99,20.593327570591,0.993,14,51.0250481,13.722797,163.547,0.45,4.19,0.19,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,13,197,1743,9,19.8740998561245,0.338563982125909,34.851452325882,11040,7188.3374,42
662.761,171.8864,170.19347,3.55810531542969,21.0818154703078,1.18007158026809,172.15863444187,-0.025341876,0.07598308,-1.0170152,1.0201645,0.40902182,3.056918,0.096349746,3.0856652,3.08416063361895,64.99,21.1092435439718,551.929077017613,171.601,169.32596,3.27270492480469,20.5553567857509,1.36479978016091,173.4542702627,-0.024169795,0.07007802,-1.0368108,1.0394573,0.4302656,3.3877404,0.0697722,3.415667,3.41495430688184,64.99,20.593327570591,0.993,14,51.0250481,13.722797,163.547,0.45,4.19,0.19,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,13,197,1743,9,19.8740998561245,0.338563982125909,34.851452325882,11040,7188.3374,42
662.799,171.8864,170.19347,3.55810531542969,21.0818154703078,1.18007158026809,172.15863444187,-0.025341876,0.07598308,-1.0170152,1.0201645,0.40902182,3.056918,0.096349746,3.0856652,3.08416063361895,64.99,21.1092435439718,551.929077017613,171.90283,169.31224,3.57453903125,20.1817028747103,0.824297170149482,173.584594181622,-0.009193897,0.054560095,-1.0744208,1.0758445,0.43118882,2.987845,0.106120914,3.0206628,3.01879794949505,65,20.1959097327203,0.862,14,51.0250481,13.722797,163.547,0.45,4.19,0.19,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,13,197,1743,9,19.8740998561245,0.338563982125909,34.851452325882,11040,7188.3374,42
662.841,172.24641,170.20596,3.91812118457031,20.4709789962004,0.331212468388749,172.184864833551,-0.014967927,0.052189395,-1.0955164,1.096861,0.3997428,2.607673,0.121360645,2.6409242,2.63813429522871,65,20.4732296615929,552.206208836874,171.90283,169.31224,3.57453903125,20.1817028747103,0.824297170149482,173.584594181622,-0.009193897,0.054560095,-1.0744208,1.0758445,0.43118882,2.987845,0.106120914,3.0206628,3.01879794949505,65,20.1959097327203,0.862,14,51.0250481,13.722797,163.547,0.45,4.19,0.19,0.63712037,-33.4594244269537,1,0,0,0,0,7063,6130,6013,5613,11.05,11.05,11.05,11.1,2.9,2,2,2.32,1,13,197,1743,9,19.8740998561245,0.338563982125909,34.851452325882,11040,7188.3374,42
